case_number,member_state,directorate_general,LFN_258,RO_258,RF_258,date_LFN_258,date_RO_258,date_RF_258,LFN_close,year,election_id,election_date,LFN_election,incorrect,workload,daysbeforeED,out_eu_cont,out_left_cont,influence,support,distance,effectiveness,expenditures,pilot,length,commission,addressee,scope,bureaucracy_quality
20054292,Italy,Internal Market and Services,1,0,0,4/4/06,NA,NA,6/27/07,2006,107,4/9/06,1,1,2.318666717,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20054311,Italy,Internal Market and Services,1,0,0,4/4/06,NA,NA,10/12/06,2006,107,4/9/06,1,1,4.043873582,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20054486,Hungary,Internal Market and Services,1,0,0,4/4/06,NA,NA,6/27/07,2006,194,4/9/06,1,1,-0.876160811,5,-3.0424,-3.6689,-0.219814867,-0.436568612,1.855383407,-0.506830212,-0.576942048,0,NA,NA,NA,NA,-0.349056467
20054604,Italy,Internal Market and Services,1,1,0,4/4/06,12/12/06,NA,12/12/06,2006,107,4/9/06,1,1,2.318666717,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20054669,Italy,Energy,1,0,0,4/4/06,NA,NA,6/26/08,2006,107,4/9/06,1,1,0.625408127,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,8.948326046,0,0,0,-1.03732397
20055010,Italy,Enterprise and Industry,1,0,0,4/4/06,NA,NA,3/21/07,2006,107,4/9/06,1,1,2.510356369,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,8.565030521,0,0,0,-1.03732397
20055115,Italy,Taxation and Customs Union,1,0,0,4/4/06,NA,NA,12/12/06,2006,107,4/9/06,1,1,3.181270149,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20062017,Italy,Environment,1,0,0,4/4/06,NA,NA,6/25/09,2006,107,4/9/06,1,1,-0.14135048,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,8.261526448,0,0,0,-1.03732397
20062021,Hungary,Health and Consumers,1,1,0,4/4/06,7/19/06,NA,7/19/06,2006,194,4/9/06,1,1,-0.74836771,5,-3.0424,-3.6689,-0.219814867,-0.436568612,1.855383407,-0.506830212,-0.576942048,0,8.42398081,0,0,0,-0.349056467
20062023,Italy,Mobility and Transport,1,1,1,4/4/06,4/3/08,10/8/09,4/3/08,2006,107,4/9/06,1,1,-0.684471159,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20062032,Hungary,Mobility and Transport,1,1,0,4/4/06,10/12/06,NA,10/12/06,2006,194,4/9/06,1,1,-0.876160811,5,-3.0424,-3.6689,-0.219814867,-0.436568612,1.855383407,-0.506830212,-0.576942048,0,NA,NA,NA,NA,-0.349056467
20062045,Italy,Taxation and Customs Union,1,0,0,4/4/06,NA,NA,12/12/06,2006,107,4/9/06,1,1,3.181270149,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20062057,Italy,Energy,1,1,0,4/4/06,12/12/06,NA,12/12/06,2006,107,4/9/06,1,1,-0.876160811,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20062068,Italy,Energy,1,1,0,4/4/06,12/12/06,NA,12/12/06,2006,107,4/9/06,1,1,2.318666717,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20062096,Italy,Energy,1,0,0,4/4/06,NA,NA,6/28/06,2006,107,4/9/06,1,1,5.194011492,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20062104,Italy,Internal Market and Services,1,0,0,4/4/06,NA,NA,6/5/08,2006,107,4/9/06,1,1,0.785149504,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20062114,Italy,"Communication Networks, Content and Technology",1,1,1,4/4/06,10/12/06,3/21/07,10/12/06,2006,107,4/9/06,1,1,-0.652522884,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20062119,Hungary,"Communication Networks, Content and Technology",1,0,0,4/4/06,NA,NA,6/27/07,2006,194,4/9/06,1,1,-0.876160811,5,-3.0424,-3.6689,-0.219814867,-0.436568612,1.855383407,-0.506830212,-0.576942048,0,NA,NA,NA,NA,-0.349056467
20062136,Hungary,Environment,1,1,0,4/4/06,4/3/08,NA,4/3/08,2006,194,4/9/06,1,1,-1.131747013,5,-3.0424,-3.6689,-0.219814867,-0.436568612,1.855383407,-0.506830212,-0.576942048,0,8.960981174,0,0,0,-0.349056467
20062163,Italy,Environment,1,0,0,4/4/06,NA,NA,6/5/08,2006,107,4/9/06,1,1,0.785149504,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,8.885302513,0,0,0,-1.03732397
20062174,Italy,Environment,1,0,0,4/4/06,NA,NA,12/12/06,2006,107,4/9/06,1,1,3.181270149,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20062188,Italy,Environment,1,0,0,4/4/06,NA,NA,10/12/06,2006,107,4/9/06,1,1,4.043873582,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,NA,NA,NA,NA,-1.03732397
20064043,Italy,Environment,1,1,0,4/4/06,6/28/06,NA,6/28/06,2006,107,4/9/06,1,1,-0.269143581,5,3.0054,3.8459,1.529551186,0.875081981,0.487462486,-1.303952431,0.341235523,0,8.960981174,0,0,0,-1.03732397
20090447,Greece,Enterprise and Industry,1,1,0,9/28/09,3/18/10,NA,3/18/10,2009,651,10/4/09,1,0,0.4017702,6,0.2666,2.2397,-0.305717242,0.696843747,-0.334321428,-0.932899337,0.546872322,0,7.44132039,1,0,0,-0.349056467
20090448,Greece,Mobility and Transport,1,0,0,9/28/09,NA,NA,3/18/10,2009,651,10/4/09,1,0,0.976839155,6,0.2666,2.2397,-0.305717242,0.696843747,-0.334321428,-0.932899337,0.546872322,0,8.697178688,1,0,1,-0.349056467
20090449,Greece,Enterprise and Industry,1,0,0,9/28/09,NA,NA,11/20/09,2009,651,10/4/09,1,0,1.519959835,6,0.2666,2.2397,-0.305717242,0.696843747,-0.334321428,-0.932899337,0.546872322,0,6.29710932,1,0,2,-0.349056467
20090450,Greece,Enterprise and Industry,1,0,0,9/28/09,NA,NA,1/28/10,2009,651,10/4/09,1,0,1.296321908,6,0.2666,2.2397,-0.305717242,0.696843747,-0.334321428,-0.932899337,0.546872322,0,6.742880636,1,0,2,-0.349056467
20102069,Netherlands,Internal Market and Services,1,1,0,6/3/10,9/30/10,NA,9/30/10,2010,530,6/9/10,1,1,-0.173298755,6,-1.7686,-1.4106,-0.209971888,-0.253760167,-1.389860369,0.886837028,0.89817194,1,NA,NA,NA,NA,1.027478538
20140253,Hungary,Environment,1,0,0,3/31/14,NA,NA,11/26/14,2014,814,4/6/14,1,0,-0.556678058,6,3.0424,3.6689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.349056467
20140254,Hungary,Health and Consumers,1,0,0,3/31/14,NA,NA,9/25/14,2014,814,4/6/14,1,0,-0.460833232,6,3.0424,3.6689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.349056467
20140405,Bulgaria,"Justice, Fundamental Rights and Citizenship",1,0,0,9/29/14,NA,NA,11/19/15,2014,840,10/5/14,1,0,-0.972005637,6,7.9,-7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.725591472
20140406,Bulgaria,Mobility and Transport,1,0,0,9/29/14,NA,NA,2/26/15,2014,840,10/5/14,1,0,-0.301091856,6,7.9,-7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.725591472
